                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0957,                 2.4693,                 1.5762,                0.54814,                0.49257,                0.51959,                0.34601,                 1.0481,                 2.2048,                  1.656,             0.00054384,             0.00054384,             0.00054384
                      2,                 1.0862,                 2.0047,                 1.4998,                0.39678,                0.59653,                0.44213,                0.18576,                 1.6916,                    2.8,                 2.7323,              0.0010886,              0.0010886,              0.0010886
                      3,                 1.1684,                 1.8597,                 1.5408,                0.39847,                0.48358,                0.35343,                0.12406,                 2.0038,                 3.4965,                 3.2595,              0.0016224,              0.0016224,              0.0016224
                      4,                 1.1767,                 1.7936,                 1.5571,                0.14196,                0.38125,                0.14795,                0.05464,                 1.8377,                 2.8729,                  2.663,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1703,                 1.6489,                 1.5269,                0.48802,                0.76389,                 0.5211,                0.28082,                 1.7045,                 1.5635,                 2.3376,               0.001601,               0.001601,               0.001601
                      6,                 1.1519,                 1.5854,                 1.5182,                0.47156,                0.89658,                0.53714,                0.32892,                 1.3382,                 1.3707,                 2.0377,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1097,                 1.4847,                  1.496,                0.47805,                0.87083,                0.50655,                0.31648,                 1.2936,                 1.4565,                 1.9267,               0.001568,               0.001568,               0.001568
                      8,                 1.1078,                 1.4111,                 1.4905,                0.46031,                0.92431,                0.57277,                0.33443,                 1.3063,                 1.3617,                 1.9657,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.036,                 1.3701,                  1.427,                0.46758,                0.90868,                0.51711,                0.34291,                 1.2984,                 1.3119,                 1.8899,               0.001535,               0.001535,               0.001535
                     10,                 1.0719,                 1.3619,                 1.4529,                0.44545,                0.66673,                0.47633,                0.25705,                  1.572,                 1.6942,                 2.0623,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.0648,                 1.3479,                 1.4393,                0.45812,                0.81736,                0.50027,                0.30119,                 1.4289,                 1.4166,                  1.946,               0.001502,               0.001502,               0.001502
                     12,                 1.0148,                 1.2725,                 1.3907,                0.46426,                0.91319,                0.51971,                0.30895,                 1.3317,                 1.2854,                 1.8683,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0243,                 1.2926,                 1.3822,                0.48237,                0.85339,                0.51267,                0.34924,                 1.1625,                 1.2654,                  1.771,               0.001469,               0.001469,               0.001469
                     14,                 0.9904,                 1.2474,                 1.3944,                0.49299,                  0.933,                 0.5321,                0.32697,                 1.4019,                 1.3114,                 1.9771,              0.0014525,              0.0014525,              0.0014525
                     15,                0.97456,                 1.2057,                 1.3687,                0.47884,                0.93542,                0.55948,                0.39735,                 1.1045,                  1.162,                  1.719,               0.001436,               0.001436,               0.001436
                     16,                0.96698,                 1.2239,                 1.3783,                0.47748,                0.89757,                0.51842,                0.35667,                 1.1531,                 1.2203,                 1.7339,              0.0014195,              0.0014195,              0.0014195
                     17,                0.98082,                 1.2364,                 1.3788,                 0.4612,                0.88827,                0.48434,                0.32589,                 1.2626,                 1.2841,                 1.9013,              0.0014029,              0.0014029,              0.0014029
